"OS_TOID","EASTING","NORTHING","LATITUDE","LONGITUDE","OA","LSOA","MSOA","WARD_CODE","WARD","ADMINISTRATIVE_AREA","KWH","PEAK_KW","DECS","EPCS","RESI_COUNT","NONRESI_COUNT","DEMAND_ESTIMATION_METHOD"
"osgb1000001802685563",532017,181768,51.5194137,-0.0986227,"E00190407","E01032740","E02000001","E05009304","Farringdon Within","CITY OF LONDON",12152.4727122414,26.0026836395264,0,0,1,0,"Building geometry prediction"
"osgb1000001802685564",532021,181767,51.5194037,-0.0985655,"E00190407","E01032740","E02000001","E05009304","Farringdon Within","CITY OF LONDON",13303.1760232582,26.396842956543,0,4,4,0,"Building geometry prediction"
"osgb1000001802688047",533007,181367,51.5155779,-0.0845135,"E00166755","E01032739","E02000001","E05009295","Broad Street","CITY OF LONDON",344133.063780483,117.062934875488,0,0,0,1,"Building geometry prediction"
"osgb1000001802689120",533043,181311,51.5150661,-0.0840161,"E00166755","E01032739","E02000001","E05009301","Cornhill","CITY OF LONDON",246698.876017198,90.1025238037109,0,0,0,1,"Building geometry prediction"
"osgb1000001802691728",532193,181253,51.5147444,-0.0962806,"E00000024","E01032739","E02000001","E05009298","Cheap","CITY OF LONDON",18122.7043448404,26.854621887207,0,0,0,1,"Building geometry prediction"
"osgb1000001802711857",531810,181110,51.5135487,-0.1018504,"E00000024","E01032739","E02000001","E05009304","Farringdon Within","CITY OF LONDON",127250.45160124,57.0506858825684,0,23,22,1,"Building geometry prediction"
"osgb1000001802725123",533026,181796,51.5194286,-0.084078,"E00166755","E01032739","E02000001","E05009292","Bishopsgate","CITY OF LONDON",9815.73700034382,24.5560512542725,0,0,0,1,"Building geometry prediction"
"osgb1000001802733975",532637,181538,51.5172015,-0.0897784,"E00166755","E01032739","E02000001","E05009290","Bassishaw","CITY OF LONDON",1563071.19670515,454.347747802734,1,0,0,1,"Building geometry prediction"
"osgb1000001802738461",532391,181526,51.5171514,-0.0933263,"E00000021","E01000002","E02000001","E05009290","Bassishaw","CITY OF LONDON",1253886.46051512,368.795196533203,0,2,0,2,"Building geometry prediction"
"osgb1000001802738462",532372,181509,51.5170031,-0.0936063,"E00000021","E01000002","E02000001","E05009290","Bassishaw","CITY OF LONDON",118487.761651913,54.6260147094727,0,0,0,1,"Building geometry prediction"
"osgb1000001802747764",531636,181274,51.515063,-0.1042953,"E00190440","E01032740","E02000001","E05009304","Farringdon Within","CITY OF LONDON",905795.085564186,272.476959228516,0,0,0,2,"Building geometry prediction"
"osgb1000001802749455",532017,181065,51.513096,-0.0988859,"E00000024","E01032739","E02000001","E05009293","Bread Street","CITY OF LONDON",21681.4475844658,27.8393383026123,0,0,0,1,"Building geometry prediction"
"osgb1000001802756805",532348,181172,51.5139802,-0.0940785,"E00166757","E01032739","E02000001","E05009300","Cordwainer","CITY OF LONDON",309070.617463268,107.361015319824,0,0,0,4,"Building geometry prediction"
"osgb1000001802756808",532321,181151,51.5137978,-0.0944753,"E00166757","E01032739","E02000001","E05009300","Cordwainer","CITY OF LONDON",687339.053032192,212.029342651367,0,0,0,3,"Building geometry prediction"
"osgb1000001802758347",533288,181048,51.5126449,-0.0805868,"E00190458","E01032739","E02000001","E05009289","Aldgate","CITY OF LONDON",1136947.49905352,336.437713623047,0,1,0,3,"Building geometry prediction"
"osgb1000001802758349",533241,181060,51.5127639,-0.0812592,"E00190458","E01032739","E02000001","E05009289","Aldgate","CITY OF LONDON",2465483.9736016,704.048828125,0,0,0,4,"Building geometry prediction"
"osgb1000001802758366",532580,181144,51.5136742,-0.0907476,"E00166757","E01032739","E02000001","E05009312","Walbrook","CITY OF LONDON",540957.51611736,171.525009155273,0,1,0,4,"Building geometry prediction"
"osgb1000001802758722",532174,180779,51.5104891,-0.0967319,"E00166757","E01032739","E02000001","E05009309","Queenhithe","CITY OF LONDON",228567.814899804,85.0855865478516,0,0,0,1,"Building geometry prediction"
"osgb1000001802758725",532179,180790,51.5105868,-0.0966557,"E00166757","E01032739","E02000001","E05009309","Queenhithe","CITY OF LONDON",165607.50641638,78.5668640136719,0,67,67,0,"Building geometry prediction"
"osgb1000001802761346",531391,181341,51.5157221,-0.1077991,"E00190440","E01032740","E02000001","E05009297","Castle Baynard","CITY OF LONDON",443558.780266979,144.574417114258,0,1,0,3,"Building geometry prediction"
"osgb1000001802761349",531368,181315,51.5154938,-0.1081401,"E00190440","E01032740","E02000001","E05009297","Castle Baynard","CITY OF LONDON",60091.6299480292,38.4675827026367,0,1,0,1,"Building geometry prediction"
